lexical_score,semantic_score,keyword_overlap_count,years_experience_gap,shortlisted
0.616,0.845,3,-3.69,1
0.5,0.576,3,1.84,1
0.619,0.699,3,0.37,0
0.314,0.475,7,2.78,0
0.903,0.848,2,0.25,1
0.242,0.116,4,-1.58,0
0.758,0.602,3,-0.41,1
0.368,0.073,6,1.61,0
0.433,0.741,8,-1.54,1
0.72,0.555,5,-0.88,1
0.847,0.814,4,-0.44,1
0.196,0.155,1,-2.3,0
0.597,0.643,2,-1.51,0
0.538,0.66,5,0.35,0
0.249,0.378,5,2.4,0
0.635,0.548,3,0.63,0
0.266,0.241,1,-0.09,0
0.515,0.558,1,-1.66,0
0.382,0.344,4,2.19,0
0.438,0.679,8,0.87,0
0.418,0.492,3,-1.41,0
0.693,0.803,6,1.8,1
0.26,0.359,1,1.12,0
0.576,0.752,4,-1.63,1
0.392,0.419,4,-0.2,0
0.429,0.234,6,-0.99,0
0.597,0.657,1,5.27,1
0.355,0.258,7,1.06,0
0.417,0.338,2,0.37,0
0.506,0.594,5,0.95,0
0.265,0.451,6,2.76,0
0.395,0.398,7,-0.17,0
0.563,0.609,5,-1.18,1
0.116,0.371,4,1.69,0
0.193,0.229,5,-0.35,0
0.407,0.797,5,-2.14,0
0.561,0.645,3,-2.53,1
0.907,0.643,1,3.06,1
0.398,0.511,4,0.26,1
0.17,0.227,8,-1.18,0
0.139,0.333,3,-0.47,0
0.397,0.498,2,1.61,0
0.848,0.827,4,-0.59,1
0.148,0.0,3,-2.9,0
0.412,0.38,3,0.65,0
0.539,0.412,2,2.42,1
0.32,0.233,5,2.28,0
0.696,0.785,5,-1.12,1
0.697,0.948,4,2.54,1
0.194,0.253,3,0.43,0
0.59,0.41,7,2.48,1
0.611,0.678,4,1.15,0
0.422,0.602,3,-3.04,0
0.28,0.188,0,3.49,0
0.768,0.748,2,0.1,1
0.21,0.212,3,1.15,0
0.335,0.217,3,-2.69,0
0.599,0.697,5,1.01,1
0.679,0.661,4,2.21,1
0.79,0.853,5,3.87,1
0.29,0.157,7,2.8,0
0.749,0.683,3,1.11,1
0.504,0.613,5,-3.09,0
0.5,0.444,2,0.26,0
0.429,0.688,6,-1.19,1
0.757,0.697,5,0.47,1
0.169,0.202,6,-2.43,0
0.17,0.31,3,-0.42,0
0.795,0.582,2,-1.03,0
0.611,0.346,1,-1.1,0
0.841,0.612,2,-1.08,1
0.696,0.885,3,-0.27,1
0.387,0.305,2,0.57,0
0.731,1.0,7,-5.0,1
0.652,0.567,2,-4.75,0
0.338,0.366,4,-0.68,0
0.465,0.696,4,-0.4,0
0.283,0.584,0,0.38,0
0.813,1.0,4,-1.46,1
0.92,1.0,6,0.02,1
0.912,1.0,4,0.25,1
0.229,0.318,7,-1.47,0
0.591,0.708,2,2.03,1
0.899,0.816,4,0.35,1
0.367,0.244,5,1.09,0
0.676,0.676,5,0.14,1
0.252,0.226,1,4.21,0
0.598,0.53,5,1.19,0
0.437,0.541,3,-0.98,0
0.474,0.617,4,1.64,1
0.636,0.649,2,-3.28,1
0.502,0.724,5,0.24,1
0.702,0.53,8,0.64,1
0.585,0.556,4,0.26,0
0.118,0.011,9,-0.67,0
0.556,0.276,3,-2.02,0
0.686,0.674,3,-1.58,1
0.688,0.67,0,0.2,0
0.685,0.912,4,-2.23,1
0.647,0.741,4,3.54,1
0.363,0.209,1,-5.28,0
0.488,0.766,3,-0.65,1
0.39,0.574,4,0.22,0
0.674,0.761,7,1.01,1
0.554,0.52,4,-1.83,0
0.723,0.579,3,2.27,0
0.406,0.35,1,-2.79,0
0.54,0.703,5,-1.13,1
0.415,0.698,7,1.24,1
0.88,1.0,4,2.08,1
0.886,0.812,4,-2.81,1
0.125,0.0,1,5.29,0
0.283,0.304,8,-1.79,0
0.24,0.0,4,-2.62,0
0.082,0.131,1,1.01,0
0.766,0.744,1,-0.7,1
0.729,0.659,2,-0.99,1
0.696,0.457,4,1.19,1
0.6,0.677,0,-3.05,1
0.588,0.508,7,-3.4,1
0.868,0.693,4,-1.19,1
0.461,0.03,7,2.16,0
0.233,0.229,6,-1.11,0
0.659,0.925,5,3.2,1
0.546,0.795,7,2.4,1
0.168,0.099,6,0.57,0
0.367,0.277,8,0.68,0
0.603,0.673,4,0.56,1
0.904,0.755,2,0.32,1
0.416,0.461,8,-0.73,0
0.313,0.428,6,-0.5,0
0.751,0.935,2,-2.14,1
0.354,0.339,5,-4.42,0
0.103,0.072,4,2.21,0
0.651,0.52,3,0.31,1
0.562,0.438,4,0.01,1
0.566,0.532,3,0.8,0
0.732,0.787,3,-1.66,0
0.62,0.757,6,-2.0,1
0.582,0.462,3,-0.57,1
0.451,0.675,3,2.74,0
0.305,0.264,3,-2.34,0
0.112,0.109,5,-5.25,0
0.636,0.523,3,-1.04,0
0.545,0.181,4,2.29,0
0.311,0.444,3,-3.47,0
0.148,0.258,3,-2.36,0
0.463,0.421,6,0.53,1
0.682,0.692,4,5.14,1
0.648,0.725,7,-2.72,1
0.265,0.031,0,-2.79,0
0.388,0.309,6,0.68,0
0.274,0.393,3,2.41,0
0.158,0.0,4,-1.25,0
0.895,0.939,3,-3.24,1
0.357,0.153,5,0.87,0
0.764,0.834,3,1.23,1
0.362,0.357,2,3.56,0
0.641,0.398,1,1.31,0
0.686,0.861,4,1.66,1
0.547,0.437,9,-0.52,1
0.643,0.521,2,4.88,1
0.654,0.684,6,-0.8,1
0.705,0.878,5,-1.22,1
0.208,0.056,3,3.62,0
0.256,0.266,3,-2.95,0
0.958,1.0,2,-3.69,1
0.098,0.202,4,0.24,0
0.283,0.309,3,-0.0,0
0.59,0.535,1,-0.46,0
0.611,0.486,5,1.99,1
0.757,0.77,4,-1.82,1
0.659,0.498,7,0.13,0
0.794,0.356,4,-0.72,1
0.293,0.358,7,-1.78,0
0.056,0.192,4,-0.12,0
0.775,0.421,3,1.71,1
0.394,0.242,0,4.24,0
0.263,0.356,4,1.16,0
0.811,1.0,1,-5.02,1
0.313,0.316,3,-0.08,0
0.331,0.222,3,0.1,0
0.556,0.529,2,1.87,0
0.682,0.888,5,0.37,1
0.501,0.405,5,2.51,0
0.78,0.66,5,0.78,1
0.229,0.157,3,3.12,0
0.727,0.584,4,-0.88,1
0.815,0.833,0,0.29,1
0.566,0.809,3,1.65,1
0.605,0.654,3,-1.14,1
0.234,0.196,8,-1.58,0
0.958,0.915,4,-1.26,1
0.336,0.101,4,-1.5,0
0.45,0.582,4,1.05,0
0.824,0.813,2,-3.67,1
0.311,0.284,5,-3.11,0
0.528,1.0,2,3.73,1
0.254,0.298,5,-1.45,0
0.663,0.55,3,0.4,1
0.804,0.74,4,-2.98,0
0.24,0.412,6,0.19,0
0.122,0.139,3,-1.44,0
0.032,0.0,9,-3.13,0
0.321,0.459,4,2.67,0
0.493,0.393,4,2.37,0
0.878,1.0,1,-0.21,1
0.568,0.73,7,2.0,1
0.555,0.488,4,3.81,0
0.735,0.927,4,1.51,1
0.589,0.6,4,0.96,1
0.381,0.509,3,0.4,0
0.325,0.398,1,1.3,0
0.731,0.604,3,-0.73,1
0.698,0.602,9,-0.55,1
0.169,0.323,2,0.9,0
0.555,0.505,7,-0.95,1
0.36,0.299,2,-0.73,0
0.799,0.656,5,0.0,1
0.239,0.303,0,2.3,0
0.726,1.0,3,-2.27,1
0.881,0.721,9,1.52,1
0.377,0.38,6,1.58,0
0.461,0.672,8,1.57,1
0.562,0.55,5,-1.61,0
0.54,0.607,5,-3.39,1
0.154,0.0,5,1.12,0
0.374,0.438,2,0.38,0
0.746,0.718,9,2.01,1
0.473,0.621,5,-1.4,0
0.836,1.0,1,1.52,1
0.691,1.0,4,2.11,1
0.396,0.483,5,-0.19,0
0.339,0.388,3,0.83,0
0.204,0.233,5,0.76,0
0.21,0.157,3,-1.64,0
0.471,0.521,4,1.06,0
0.441,0.397,3,3.24,0
0.449,0.475,1,0.04,0
0.701,0.898,5,-2.92,1
0.539,0.388,3,-1.37,0
0.711,0.882,2,-3.56,0
0.524,0.722,2,2.58,1
0.467,0.449,4,1.53,0
0.496,0.178,2,-1.0,0
0.365,0.274,4,-2.84,0
0.84,1.0,3,-1.67,1
0.371,0.367,2,-1.28,0
0.596,0.446,3,0.22,0
0.339,0.264,10,0.15,0
0.828,0.954,4,2.68,1
0.208,0.29,5,-1.39,0
0.283,0.247,3,-3.02,0
0.678,0.623,4,-2.31,1
0.545,0.486,4,-0.05,0
0.367,0.228,3,-1.46,0
0.645,0.887,6,-0.58,1
0.46,0.411,3,-0.91,1
0.386,0.568,5,1.98,1
0.395,0.623,3,-1.17,0
0.758,0.908,0,-0.75,1
0.643,0.578,6,1.43,0
0.624,0.685,3,-1.13,1
0.511,0.508,2,0.85,0
0.467,0.332,5,0.66,0
0.323,0.372,6,0.28,1
0.795,0.618,1,-2.27,0
0.194,0.372,6,2.46,0
0.14,0.071,2,4.44,0
0.633,0.663,2,0.02,1
0.402,0.444,2,-2.09,0
0.807,0.768,3,0.06,1
0.667,0.755,4,1.98,1
0.469,0.397,3,-1.23,0
0.676,0.807,3,-0.26,1
0.747,0.545,1,0.68,0
0.74,0.759,4,2.41,1
0.447,0.738,7,1.55,1
0.163,0.013,6,1.63,0
0.029,0.0,6,-0.85,0
0.764,0.841,5,0.8,1
0.491,0.518,3,-1.44,1
0.291,0.344,2,1.69,0
0.554,0.628,5,2.3,1
0.579,0.674,6,1.11,1
0.563,0.729,0,-0.73,1
0.375,0.436,6,-0.41,0
0.645,0.609,3,3.61,1
0.236,0.337,4,-0.7,0
0.396,0.681,4,2.1,1
0.277,0.257,3,0.68,0
0.669,0.522,10,-0.67,1
0.314,0.48,1,-2.69,0
0.17,0.152,5,0.42,0
0.572,0.246,2,0.18,0
0.574,0.701,2,3.61,0
0.216,0.135,3,-1.72,0
0.701,0.688,7,4.59,1
0.495,0.545,1,0.76,0
0.378,0.407,2,0.76,0
0.073,0.18,4,-1.19,0
0.635,0.57,6,0.63,1
0.554,0.631,1,0.95,0
0.562,0.523,4,1.87,1
0.675,0.785,6,-1.96,1
0.118,0.211,3,2.81,0
0.405,0.265,5,0.72,0
0.78,0.943,3,1.22,1
0.233,0.153,4,-0.44,0
0.5,0.621,6,-1.86,0
0.175,0.23,2,0.15,0
0.629,0.905,3,0.37,1
0.493,0.46,3,-2.77,0
0.642,0.589,4,1.59,1
0.594,0.591,9,1.99,1
0.803,0.757,6,-1.46,1
0.845,0.965,6,-2.05,1
0.15,0.0,5,-0.61,0
0.561,0.403,1,0.05,0
0.817,0.656,0,-0.53,1
0.488,0.63,9,-0.12,0
0.892,1.0,2,0.44,1
0.427,0.411,5,-2.74,0
0.671,0.646,4,-2.51,1
0.875,0.886,2,-5.44,1
0.24,0.414,4,1.89,0
0.463,0.324,0,0.03,0
0.855,0.891,3,2.1,1
0.671,0.817,3,-2.28,1
0.59,0.665,4,0.05,0
0.719,0.748,2,0.43,1
0.581,0.731,1,-1.12,0
0.625,0.219,0,-3.11,0
0.581,0.683,2,3.49,1
0.396,0.297,6,2.8,0
0.53,0.256,3,-0.76,0
0.9,0.977,4,1.02,1
0.332,0.538,4,-0.97,0
0.794,0.773,2,-1.99,1
0.539,0.681,3,3.65,1
0.693,0.934,3,-3.31,1
0.73,0.927,4,-0.57,1
0.645,0.891,4,0.17,1
0.412,0.524,1,3.3,0
0.827,0.839,5,1.79,1
0.704,0.464,3,-3.34,0
0.567,0.53,6,-0.01,0
0.587,0.46,3,0.04,0
0.352,0.677,8,-0.46,1
0.656,0.63,4,1.24,1
0.824,0.842,8,-2.82,1
0.281,0.364,4,-0.82,0
0.301,0.308,4,0.96,0
0.652,0.906,5,1.36,1
0.31,0.217,5,0.3,0
0.476,0.505,4,-0.58,0
0.482,0.371,2,-0.24,0
0.325,0.127,3,1.48,0
0.748,0.656,5,0.07,1
0.67,0.665,0,-2.08,0
0.597,0.533,2,-2.47,0
0.46,0.357,4,-2.98,0
0.642,0.431,4,2.91,1
0.091,0.079,3,1.61,0
0.231,0.005,4,-0.21,0
0.535,0.649,9,-0.91,1
0.49,0.503,0,-1.15,0
0.625,0.407,4,2.19,1
0.507,0.461,0,3.81,0
0.356,0.243,5,-1.21,0
0.777,0.825,4,2.28,1
0.41,0.611,4,0.06,0
0.416,0.134,3,-0.42,0
0.899,0.917,5,3.01,1
0.174,0.15,4,-0.02,0
0.43,0.53,2,0.59,0
0.561,0.593,7,0.5,1
0.41,0.297,5,-3.25,0
0.342,0.294,2,0.58,0
0.464,0.344,8,-1.13,0
0.361,0.522,1,-2.84,0
0.735,0.738,4,-1.03,1
0.054,0.339,4,-1.05,0
0.575,0.566,1,2.06,0
0.404,0.298,3,-2.13,0
0.56,0.332,3,-1.58,0
